City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
93,caravelas,-17.7125,-39.2481,78.87,77,1,9.01,BR,2023-04-01 22:45:26
94,mount gambier,-37.8333,140.7667,54.21,68,42,2.28,AU,2023-04-01 22:45:26
95,itacoatiara,-3.1431,-58.4442,74.52,97,98,0.89,BR,2023-04-01 22:45:26
96,upernavik,72.7868,-56.1549,-21.53,99,44,8.99,GL,2023-04-01 22:45:26
97,vanimo,-2.6741,141.3028,81.82,76,45,2.42,PG,2023-04-01 22:45:26
98,fort nelson,58.8053,-122.7002,28.94,62,100,5.75,CA,2023-04-01 22:43:09
99,hobart,-42.8794,147.3294,58.86,73,75,10.36,AU,2023-04-01 22:45:26
100,inuvik,68.3499,-133.7218,9.46,51,20,3.44,CA,2023-04-01 22:45:26
101,hasaki,35.7333,140.8333,58.21,58,61,14.34,JP,2023-04-01 22:44:21
102,butaritari,3.0707,172.7902,81.5,76,100,12.91,KI,2023-04-01 22:45:27
103,shellbrook,53.2168,-106.4011,29.43,92,99,9.53,CA,2023-04-01 22:43:11
104,tuatapere,-46.1333,167.6833,51.64,79,100,10.85,NZ,2023-04-01 22:45:27
105,otacilio costa,-27.4831,-50.1219,51.96,62,0,3.69,BR,2023-04-01 22:45:27
106,bathsheba,13.2167,-59.5167,79.41,78,40,19.57,BB,2023-04-01 22:45:27
107,wajir,1.7471,40.0573,83.46,60,6,15.37,KE,2023-04-01 22:45:27
108,tocopilla,-22.092,-70.1979,72.05,80,28,3.02,CL,2023-04-01 22:41:53
109,kanigoro,-8.13,112.219,72.72,91,100,3.31,ID,2023-04-01 22:45:27
110,pevek,69.7008,170.3133,-10.57,92,100,9.13,RU,2023-04-01 22:45:27
111,locri,38.2414,16.2623,59.32,80,100,9.91,IT,2023-04-01 22:45:27
112,mlalo,-4.9333,38.9333,75.07,93,37,5.03,TZ,2023-04-01 22:45:27
113,thompson,55.7435,-97.8558,19.56,32,40,5.75,CA,2023-04-01 22:45:18
114,san patricio,28.017,-97.5169,87.75,56,99,13.8,US,2023-04-01 22:45:27
